Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2018-11-20 00:00:00,0.89,1.07,0.67,100.0,,,0.0,4.4,4.5,4.3,Novi Sad,Glozan,Jabuka
2018-11-20 01:00:00,1.27,1.41,1.12,100.0,,,0.0,4.5,4.6,4.3,Novi Sad,Glozan,Jabuka
2018-11-20 02:00:00,1.62,1.75,1.51,100.0,,,0.0,4.5,4.6,4.4,Novi Sad,Glozan,Jabuka
2018-11-20 03:00:00,1.94,2.04,1.82,100.0,,,0.4,4.4,4.5,4.4,Novi Sad,Glozan,Jabuka
2018-11-20 04:00:00,2.03,2.48,1.76,100.0,,,2.0,4.4,4.6,4.3,Novi Sad,Glozan,Jabuka
2018-11-20 05:00:00,2.62,2.68,2.5,100.0,,,0.8,4.4,4.6,4.4,Novi Sad,Glozan,Jabuka
2018-11-20 06:00:00,2.62,2.66,2.56,100.0,,,0.4,4.4,4.5,4.4,Novi Sad,Glozan,Jabuka
2018-11-20 07:00:00,2.55,2.58,2.53,100.0,,,0.2,4.5,4.6,4.4,Novi Sad,Glozan,Jabuka
2018-11-20 08:00:00,2.8,3.0,2.59,100.0,,,0.0,4.6,4.7,4.5,Novi Sad,Glozan,Jabuka
2018-11-20 09:00:00,3.7,4.9,3.02,100.0,,,0.0,4.6,4.8,4.6,Novi Sad,Glozan,Jabuka
2018-11-20 10:00:00,5.52,6.17,4.97,100.0,,,0.0,4.9,5.2,4.7,Novi Sad,Glozan,Jabuka
2018-11-20 11:00:00,7.27,8.02,6.15,96.7,,,1.2,5.3,5.6,5.1,Novi Sad,Glozan,Jabuka
2018-11-20 12:00:00,7.17,7.44,6.92,98.59,,,0.8,5.6,5.8,5.5,Novi Sad,Glozan,Jabuka
2018-11-20 13:00:00,7.89,8.55,7.47,95.2,,,0.0,5.9,6.1,5.7,Novi Sad,Glozan,Jabuka
2018-11-20 14:00:00,8.38,8.51,8.21,93.3,,,0.0,6.3,6.5,6.0,Novi Sad,Glozan,Jabuka
2018-11-20 15:00:00,8.35,8.58,8.16,91.97,,,0.0,6.5,6.7,6.4,Novi Sad,Glozan,Jabuka
2018-11-20 16:00:00,7.87,8.15,7.7,94.51,,,0.0,6.7,6.9,6.7,Novi Sad,Glozan,Jabuka
2018-11-20 17:00:00,7.63,7.7,7.44,95.71,,,0.0,6.7,6.9,6.7,Novi Sad,Glozan,Jabuka
2018-11-20 18:00:00,6.62,7.49,5.85,98.8,,,0.0,6.7,6.9,6.6,Novi Sad,Glozan,Jabuka
2018-11-20 19:00:00,5.54,5.78,5.4,100.0,,,0.0,6.6,6.8,6.5,Novi Sad,Glozan,Jabuka
2018-11-20 20:00:00,5.34,5.46,5.23,100.0,,,0.0,6.5,6.7,6.4,Novi Sad,Glozan,Jabuka
2018-11-20 21:00:00,5.03,5.2,4.91,100.0,,,0.0,6.5,6.6,6.4,Novi Sad,Glozan,Jabuka
2018-11-20 22:00:00,4.92,4.98,4.81,100.0,,,0.0,6.4,6.5,6.4,Novi Sad,Glozan,Jabuka
2018-11-20 23:00:00,4.7,4.79,4.57,100.0,,,0.0,6.4,6.5,6.3,Novi Sad,Glozan,Jabuka
2018-11-21 00:00:00,4.52,4.58,4.48,100.0,,,0.0,6.3,6.4,6.3,Novi Sad,Glozan,Jabuka
2018-11-21 01:00:00,4.43,4.57,4.19,100.0,,,0.0,6.3,6.4,6.2,Novi Sad,Glozan,Jabuka
2018-11-21 02:00:00,4.43,4.64,4.26,100.0,,,0.0,6.2,6.4,6.2,Novi Sad,Glozan,Jabuka
2018-11-21 03:00:00,4.38,4.67,4.24,100.0,,,0.0,6.2,6.3,6.2,Novi Sad,Glozan,Jabuka
2018-11-21 04:00:00,4.25,4.37,4.19,100.0,,,0.0,6.2,6.3,6.2,Novi Sad,Glozan,Jabuka
2018-11-21 05:00:00,4.31,4.39,4.26,100.0,,,0.0,6.1,6.3,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 06:00:00,4.36,4.45,4.26,100.0,,,0.0,6.1,6.3,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 07:00:00,4.33,4.42,4.23,100.0,,,0.2,6.1,6.2,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 08:00:00,4.15,4.22,4.05,100.0,,,0.0,6.0,6.1,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 09:00:00,4.17,4.33,4.05,100.0,,,0.0,6.0,6.2,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 10:00:00,4.41,4.53,4.29,100.0,,,0.0,6.1,6.3,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 11:00:00,4.5,4.54,4.42,100.0,,,0.0,6.2,6.3,6.0,Novi Sad,Glozan,Jabuka
2018-11-21 12:00:00,4.52,4.61,4.44,100.0,,,0.2,6.3,6.4,6.2,Novi Sad,Glozan,Jabuka
2018-11-21 13:00:00,4.58,4.64,4.51,100.0,,,0.0,6.3,6.5,6.3,Novi Sad,Glozan,Jabuka
2018-11-21 14:00:00,4.71,4.88,4.57,100.0,,,0.0,6.4,6.6,6.4,Novi Sad,Glozan,Jabuka
2018-11-21 15:00:00,4.91,5.04,4.77,100.0,,,0.0,6.5,6.8,6.4,Novi Sad,Glozan,Jabuka
2018-11-21 16:00:00,5.02,5.08,4.96,100.0,,,0.0,6.6,6.8,6.5,Novi Sad,Glozan,Jabuka
2018-11-21 17:00:00,5.09,5.17,5.03,100.0,,,0.0,6.5,6.6,6.5,Novi Sad,Glozan,Jabuka
2018-11-21 18:00:00,5.04,5.07,5.01,100.0,,,0.0,6.5,6.6,6.4,Novi Sad,Glozan,Jabuka
2018-11-21 19:00:00,5.05,5.11,5.01,100.0,,,0.0,6.5,6.7,6.4,Novi Sad,Glozan,Jabuka
2018-11-21 20:00:00,5.06,5.12,4.99,100.0,,,0.0,6.4,6.5,6.4,Novi Sad,Glozan,Jabuka
2018-11-21 21:00:00,5.17,5.22,5.12,100.0,,,0.0,6.4,6.5,6.4,Novi Sad,Glozan,Jabuka
2018-11-21 22:00:00,5.11,5.14,5.09,100.0,,,0.0,6.4,6.5,6.3,Novi Sad,Glozan,Jabuka
2018-11-21 23:00:00,5.04,5.1,4.97,100.0,,,0.0,6.3,6.4,6.3,Novi Sad,Glozan,Jabuka
2018-11-22 00:00:00,4.78,4.99,4.61,100.0,,,0.0,6.3,6.4,6.2,Novi Sad,Glozan,Jabuka
2018-11-22 01:00:00,4.4,4.61,4.32,100.0,,,0.0,6.2,6.4,6.2,Novi Sad,Glozan,Jabuka
2018-11-22 02:00:00,4.27,4.33,4.16,100.0,,,0.0,6.2,6.4,6.2,Novi Sad,Glozan,Jabuka
2018-11-22 03:00:00,4.05,4.18,3.92,100.0,,,0.0,6.1,6.2,6.0,Novi Sad,Glozan,Jabuka
2018-11-22 04:00:00,3.86,3.94,3.78,100.0,,,0.0,6.0,6.1,6.0,Novi Sad,Glozan,Jabuka
2018-11-22 05:00:00,3.99,4.05,3.93,100.0,,,0.0,5.9,6.0,5.9,Novi Sad,Glozan,Jabuka
2018-11-22 06:00:00,4.12,4.21,4.04,100.0,,,0.0,5.9,6.1,5.8,Novi Sad,Glozan,Jabuka
2018-11-22 07:00:00,4.2,4.29,4.13,100.0,,,0.0,5.9,6.0,5.8,Novi Sad,Glozan,Jabuka
2018-11-22 08:00:00,4.68,4.94,4.33,99.99,,,0.0,5.8,5.9,5.8,Novi Sad,Glozan,Jabuka
2018-11-22 09:00:00,5.19,5.52,4.84,95.2,,,0.0,5.9,6.1,5.9,Novi Sad,Glozan,Jabuka
2018-11-22 10:00:00,5.96,6.26,5.65,87.22,,,0.0,6.3,6.5,6.2,Novi Sad,Glozan,Jabuka
2018-11-22 11:00:00,6.72,7.05,6.33,81.52,,,0.0,6.7,7.0,6.4,Novi Sad,Glozan,Jabuka
2018-11-22 12:00:00,7.1,7.22,6.9,81.03,,,0.0,7.2,7.5,6.9,Novi Sad,Glozan,Jabuka
2018-11-22 13:00:00,7.01,7.15,6.94,84.05,,,0.0,7.5,7.7,7.4,Novi Sad,Glozan,Jabuka
2018-11-22 14:00:00,7.24,7.44,7.1,85.05,,,0.0,7.7,7.9,7.6,Novi Sad,Glozan,Jabuka
2018-11-22 15:00:00,7.01,7.11,6.85,87.27,,,0.0,7.8,7.9,7.7,Novi Sad,Glozan,Jabuka
2018-11-22 16:00:00,6.73,6.83,6.57,91.37,,,0.0,7.6,7.9,7.5,Novi Sad,Glozan,Jabuka
2018-11-22 17:00:00,6.07,6.5,5.81,95.19,,,0.0,7.4,7.6,7.2,Novi Sad,Glozan,Jabuka
2018-11-22 18:00:00,5.55,5.82,5.4,99.56,,,0.0,7.1,7.4,7.0,Novi Sad,Glozan,Jabuka
2018-11-22 19:00:00,5.31,5.5,5.12,99.2,,,0.0,6.9,7.1,6.8,Novi Sad,Glozan,Jabuka
2018-11-22 20:00:00,5.05,5.16,4.75,99.1,,,0.0,6.7,6.9,6.7,Novi Sad,Glozan,Jabuka
2018-11-22 21:00:00,4.71,4.91,4.32,100.0,,,0.0,6.6,6.8,6.5,Novi Sad,Glozan,Jabuka
2018-11-22 22:00:00,4.02,4.26,3.74,100.0,,,0.0,6.4,6.6,6.4,Novi Sad,Glozan,Jabuka
2018-11-22 23:00:00,3.13,3.7,2.63,100.0,,,0.0,6.2,6.3,6.1,Novi Sad,Glozan,Jabuka
2018-11-23 00:00:00,2.83,3.1,2.63,100.0,,,0.0,5.9,6.1,5.9,Novi Sad,Glozan,Jabuka
2018-11-23 01:00:00,2.92,3.09,2.67,100.0,,,0.0,5.8,5.9,5.7,Novi Sad,Glozan,Jabuka
2018-11-23 02:00:00,2.59,3.19,2.16,100.0,,,0.0,5.6,5.8,5.6,Novi Sad,Glozan,Jabuka
2018-11-23 03:00:00,2.36,2.56,2.04,100.0,,,0.0,5.5,5.7,5.5,Novi Sad,Glozan,Jabuka
2018-11-23 04:00:00,1.73,2.31,1.36,100.0,,,0.0,5.3,5.5,5.2,Novi Sad,Glozan,Jabuka
2018-11-23 05:00:00,0.85,1.88,-0.03,100.0,,,0.0,5.1,5.3,4.9,Novi Sad,Glozan,Jabuka
2018-11-23 06:00:00,0.78,1.12,0.45,100.0,,,0.0,4.7,5.0,4.7,Novi Sad,Glozan,Jabuka
