Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 22:00:00,-2.76,-2.69,-2.82,100.0,,,0.0,0.9,1.0,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-01 23:00:00,-2.7,-2.58,-2.8,100.0,,,0.0,0.9,1.0,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 00:00:00,-2.66,-2.64,-2.7,100.0,,,0.0,0.9,1.0,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 01:00:00,-2.56,-2.51,-2.63,100.0,,,0.0,0.9,1.0,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 02:00:00,-2.52,-2.47,-2.56,100.0,,,0.0,0.9,1.0,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 03:00:00,-2.33,-2.23,-2.43,100.0,,,0.0,0.9,1.0,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 04:00:00,-2.26,-2.22,-2.34,100.0,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 05:00:00,-2.26,-2.22,-2.33,100.0,,,0.0,0.9,1.1,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 06:00:00,-2.17,-2.12,-2.26,100.0,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 07:00:00,-2.16,-2.1,-2.27,100.0,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 08:00:00,-2.33,-2.26,-2.47,100.0,,,0.0,1.0,1.2,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 09:00:00,-2.2,-1.98,-2.44,100.0,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 10:00:00,-1.73,-1.47,-1.94,100.0,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 11:00:00,-1.32,-1.14,-1.56,100.0,,,0.0,1.0,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 12:00:00,-1.09,-1.0,-1.15,99.98,,,0.0,1.0,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 13:00:00,-1.16,-1.08,-1.25,100.0,,,0.0,1.0,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 14:00:00,-1.25,-1.11,-1.47,100.0,,,0.0,1.0,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 15:00:00,-1.75,-1.58,-1.87,100.0,,,0.0,1.0,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 16:00:00,-2.13,-1.89,-2.38,100.0,,,0.0,0.9,1.1,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 17:00:00,-2.5,-2.35,-2.69,100.0,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 18:00:00,-2.9,-2.72,-3.03,100.0,,,0.0,0.9,1.1,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 19:00:00,-3.13,-3.0,-3.28,100.0,,,0.0,0.9,1.1,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 20:00:00,-3.34,-3.26,-3.45,99.95,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 21:00:00,-3.51,-3.46,-3.56,99.99,,,0.0,0.9,1.1,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 22:00:00,-3.63,-3.52,-3.72,100.0,,,0.0,0.9,1.0,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-02 23:00:00,-3.82,-3.66,-3.95,100.0,,,0.0,0.9,1.0,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 00:00:00,-4.08,-3.98,-4.21,100.0,,,0.0,0.9,1.0,0.9,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 01:00:00,-4.33,-4.23,-4.46,100.0,,,0.0,0.8,1.0,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 02:00:00,-4.47,-4.42,-4.52,100.0,,,0.0,0.8,0.9,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 03:00:00,-4.64,-4.49,-4.73,100.0,,,0.0,0.8,0.9,0.8,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 04:00:00,-4.86,-4.73,-5.07,100.0,,,0.0,0.8,0.9,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 05:00:00,-5.24,-5.11,-5.4,100.0,,,0.0,0.8,1.0,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 06:00:00,-5.53,-5.41,-5.65,100.0,,,0.0,0.8,0.9,0.7,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 07:00:00,-5.78,-5.65,-5.94,100.0,,,0.0,0.7,0.8,0.7,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 08:00:00,-6.09,-5.98,-6.24,100.0,,,0.0,0.7,0.8,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 09:00:00,-6.16,-6.06,-6.25,100.0,,,0.0,0.7,0.8,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 10:00:00,-5.97,-5.72,-6.09,100.0,,,0.0,0.6,0.8,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 11:00:00,-6.09,-6.02,-6.19,100.0,,,0.0,0.6,0.8,0.5,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 12:00:00,-6.12,-6.04,-6.22,100.0,,,0.0,0.6,0.8,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 13:00:00,-6.17,-6.09,-6.28,100.0,,,0.0,0.6,0.7,0.4,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 14:00:00,-6.28,-6.19,-6.42,100.0,,,0.0,0.6,0.7,0.6,Novi Sad,Futog,Krompir i Psenica i Jecam
2016-01-03 15:00:00,-6.46,-6.32,-6.64,100.0,,,0.0,0.6,0.7,0.5,Novi Sad,Futog,Krompir i Psenica i Jecam
