Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2013-04-11 00:00:00,7.27,7.99,6.69,97.78,,,0.0,10.2,10.5,10.1,Vrbas,Vrbas,Sljiva
2013-04-11 01:00:00,6.16,6.33,5.81,99.68,,,0.0,10.0,10.1,9.9,Vrbas,Vrbas,Sljiva
2013-04-11 02:00:00,6.15,6.37,5.74,100.0,,,0.2,9.7,9.9,9.6,Vrbas,Vrbas,Sljiva
2013-04-11 03:00:00,5.12,6.57,4.17,100.0,,,0.0,9.4,9.6,9.3,Vrbas,Vrbas,Sljiva
2013-04-11 04:00:00,4.43,4.82,4.13,100.0,,,0.0,9.3,9.4,9.2,Vrbas,Vrbas,Sljiva
2013-04-11 05:00:00,4.29,5.35,3.59,100.0,,,0.0,9.0,9.2,8.9,Vrbas,Vrbas,Sljiva
2013-04-11 06:00:00,3.37,3.9,2.91,100.0,,,0.0,8.8,8.9,8.7,Vrbas,Vrbas,Sljiva
2013-04-11 07:00:00,6.4,9.01,4.1,100.0,,,0.0,8.6,8.8,8.4,Vrbas,Vrbas,Sljiva
2013-04-11 08:00:00,9.96,11.36,8.62,97.18,,,0.0,8.4,8.8,8.3,Vrbas,Vrbas,Sljiva
2013-04-11 09:00:00,12.92,14.09,11.89,80.66,,,0.0,8.3,8.4,8.3,Vrbas,Vrbas,Sljiva
2013-04-11 10:00:00,15.05,15.85,14.49,67.82,,,0.0,8.3,8.4,8.2,Vrbas,Vrbas,Sljiva
2013-04-11 11:00:00,16.76,17.79,15.98,54.11,,,0.0,8.4,8.7,8.2,Vrbas,Vrbas,Sljiva
2013-04-11 12:00:00,17.7,18.15,17.26,48.37,,,0.0,8.8,9.1,8.6,Vrbas,Vrbas,Sljiva
2013-04-11 13:00:00,18.35,19.02,17.78,48.12,,,0.0,9.3,9.5,9.1,Vrbas,Vrbas,Sljiva
2013-04-11 14:00:00,18.7,19.12,18.04,45.5,,,0.0,9.7,10.2,9.4,Vrbas,Vrbas,Sljiva
2013-04-11 15:00:00,19.26,19.99,18.52,41.6,,,0.0,10.4,10.7,10.1,Vrbas,Vrbas,Sljiva
2013-04-11 16:00:00,18.46,19.42,17.78,42.54,,,0.0,10.9,11.2,10.7,Vrbas,Vrbas,Sljiva
2013-04-11 17:00:00,18.59,19.55,18.04,42.44,,,0.0,11.2,11.5,11.2,Vrbas,Vrbas,Sljiva
2013-04-11 18:00:00,17.05,18.42,15.37,54.25,,,0.0,11.5,11.7,11.4,Vrbas,Vrbas,Sljiva
2013-04-11 19:00:00,13.12,14.94,11.95,71.95,,,0.0,11.6,11.8,11.5,Vrbas,Vrbas,Sljiva
2013-04-11 20:00:00,11.92,12.53,11.55,85.68,,,0.0,11.6,11.8,11.5,Vrbas,Vrbas,Sljiva
2013-04-11 21:00:00,11.48,11.83,11.09,80.4,,,0.0,11.5,11.7,11.3,Vrbas,Vrbas,Sljiva
2013-04-11 22:00:00,9.57,10.87,8.82,88.68,,,0.0,11.3,11.5,11.2,Vrbas,Vrbas,Sljiva
2013-04-11 23:00:00,8.42,9.69,7.42,92.36,,,0.0,11.1,11.3,10.9,Vrbas,Vrbas,Sljiva
2013-04-12 00:00:00,8.63,9.93,7.24,88.4,,,0.0,10.9,11.1,10.7,Vrbas,Vrbas,Sljiva
2013-04-12 01:00:00,7.78,8.47,7.09,91.49,,,0.0,10.7,10.9,10.7,Vrbas,Vrbas,Sljiva
2013-04-12 02:00:00,7.9,8.36,7.57,91.79,,,0.0,10.4,10.7,10.3,Vrbas,Vrbas,Sljiva
2013-04-12 03:00:00,8.01,8.57,7.57,91.95,,,0.0,10.2,10.4,10.1,Vrbas,Vrbas,Sljiva
2013-04-12 04:00:00,7.71,8.29,7.15,93.43,,,0.0,10.0,10.1,9.8,Vrbas,Vrbas,Sljiva
2013-04-12 05:00:00,7.76,8.34,6.85,92.51,,,0.0,9.8,10.0,9.7,Vrbas,Vrbas,Sljiva
2013-04-12 06:00:00,8.69,9.5,7.79,85.95,,,0.0,9.6,9.7,9.5,Vrbas,Vrbas,Sljiva
2013-04-12 07:00:00,11.12,11.8,9.8,78.17,,,0.0,9.5,9.6,9.4,Vrbas,Vrbas,Sljiva
2013-04-12 08:00:00,11.55,12.04,11.02,84.51,,,0.4,9.4,9.6,9.1,Vrbas,Vrbas,Sljiva
2013-04-12 09:00:00,13.84,16.41,12.0,80.39,,,0.0,9.3,9.4,9.2,Vrbas,Vrbas,Sljiva
2013-04-12 10:00:00,17.59,18.25,17.06,56.91,,,0.0,9.2,9.4,9.2,Vrbas,Vrbas,Sljiva
2013-04-12 11:00:00,18.28,19.84,17.05,57.73,,,0.0,9.3,9.5,9.3,Vrbas,Vrbas,Sljiva
2013-04-12 12:00:00,20.99,21.7,19.53,43.45,,,0.0,9.6,9.8,9.5,Vrbas,Vrbas,Sljiva
2013-04-12 13:00:00,20.79,21.94,20.28,47.53,,,0.0,9.9,10.2,9.7,Vrbas,Vrbas,Sljiva
2013-04-12 14:00:00,20.35,20.87,19.99,48.13,,,0.0,10.3,10.6,10.2,Vrbas,Vrbas,Sljiva
2013-04-12 15:00:00,21.52,23.14,20.53,45.63,,,0.0,10.8,11.1,10.6,Vrbas,Vrbas,Sljiva
2013-04-12 16:00:00,21.92,22.91,21.04,44.93,,,0.0,11.2,11.5,11.1,Vrbas,Vrbas,Sljiva
2013-04-12 17:00:00,19.77,20.89,19.2,58.87,,,0.0,11.4,11.7,11.2,Vrbas,Vrbas,Sljiva
2013-04-12 18:00:00,17.92,19.54,16.58,66.61,,,0.0,11.7,11.9,11.4,Vrbas,Vrbas,Sljiva
2013-04-12 19:00:00,15.46,16.36,14.52,83.81,,,1.2,11.9,12.0,11.9,Vrbas,Vrbas,Sljiva
2013-04-12 20:00:00,14.38,14.95,13.78,92.79,,,0.0,11.9,12.0,11.8,Vrbas,Vrbas,Sljiva
2013-04-12 21:00:00,14.34,14.95,13.85,90.59,,,2.2,11.9,12.0,11.8,Vrbas,Vrbas,Sljiva
2013-04-12 22:00:00,13.65,14.36,13.15,94.66,,,6.6,11.7,11.9,11.6,Vrbas,Vrbas,Sljiva
2013-04-12 23:00:00,13.34,13.49,13.12,96.02,,,1.0,11.7,11.9,11.6,Vrbas,Vrbas,Sljiva
2013-04-13 00:00:00,12.81,13.28,12.46,97.15,,,0.0,11.6,11.7,11.6,Vrbas,Vrbas,Sljiva
2013-04-13 01:00:00,12.11,13.37,11.38,97.27,,,0.0,11.6,11.7,11.5,Vrbas,Vrbas,Sljiva
2013-04-13 02:00:00,10.66,11.4,10.34,98.79,,,0.0,11.4,11.6,11.3,Vrbas,Vrbas,Sljiva
2013-04-13 03:00:00,10.23,10.37,9.99,98.73,,,0.0,11.3,11.5,11.2,Vrbas,Vrbas,Sljiva
2013-04-13 04:00:00,10.11,10.24,9.98,99.97,,,0.6,11.1,11.3,10.9,Vrbas,Vrbas,Sljiva
2013-04-13 05:00:00,9.78,10.02,9.58,100.0,,,0.0,11.0,11.2,10.9,Vrbas,Vrbas,Sljiva
2013-04-13 06:00:00,9.57,9.9,9.36,100.0,,,0.2,10.8,11.1,10.7,Vrbas,Vrbas,Sljiva
2013-04-13 07:00:00,10.19,10.38,9.94,100.0,,,0.2,10.7,10.9,10.6,Vrbas,Vrbas,Sljiva
2013-04-13 08:00:00,10.71,11.2,10.28,99.92,,,0.0,10.6,10.8,10.5,Vrbas,Vrbas,Sljiva
