Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2014-11-06 00:00:00,12.43,12.69,12.07,33.33,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 01:00:00,11.48,11.93,11.2,8.33,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 02:00:00,10.88,11.12,10.71,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 03:00:00,10.65,10.76,10.59,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 04:00:00,10.69,10.77,10.63,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 05:00:00,10.31,10.53,10.23,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 06:00:00,10.08,10.15,10.0,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 07:00:00,10.45,11.07,9.97,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 08:00:00,11.53,12.07,11.24,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 09:00:00,13.82,15.08,12.45,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 10:00:00,16.06,16.91,15.22,0.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 11:00:00,17.89,18.52,17.0,25.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 12:00:00,20.54,22.15,18.78,33.33,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 13:00:00,21.21,22.78,20.58,58.28,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 14:00:00,21.55,22.41,20.89,100.0,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 15:00:00,20.2,20.74,19.67,87.85,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 16:00:00,18.92,19.56,18.45,94.77,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 17:00:00,17.9,18.4,17.43,85.82,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 18:00:00,17.46,17.59,17.4,86.69,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 19:00:00,17.49,17.81,17.07,83.57,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 20:00:00,16.82,17.05,16.7,87.36,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
2014-11-06 21:00:00,16.86,17.0,16.63,84.73,,,0.0,,,,Sremska Mitrovica,Divos,Jabuka
