Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 23:00:00,-2.23,-2.17,-2.36,100.0,,,0.0,2.1,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 00:00:00,-2.38,-2.32,-2.43,100.0,,,0.0,2.1,2.3,1.8,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 01:00:00,-2.36,-2.31,-2.43,100.0,,,0.0,2.1,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 02:00:00,-2.22,-2.15,-2.35,100.0,,,0.0,2.1,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 03:00:00,-2.18,-2.15,-2.24,100.0,,,0.0,2.1,2.2,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 04:00:00,-2.21,-2.17,-2.25,100.0,,,0.0,2.1,2.2,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 05:00:00,-2.28,-2.21,-2.41,100.0,,,0.0,2.1,2.2,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 06:00:00,-2.47,-2.42,-2.52,100.0,,,0.0,2.1,2.2,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 07:00:00,-2.46,-2.37,-2.52,100.0,,,0.0,2.1,2.2,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 08:00:00,-2.33,-2.25,-2.4,100.0,,,0.0,2.1,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 09:00:00,-2.06,-1.89,-2.24,99.96,,,0.0,2.1,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 10:00:00,-1.64,-1.41,-1.87,97.52,,,0.0,2.1,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 11:00:00,-1.12,-0.95,-1.33,93.78,,,0.0,2.1,2.2,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 12:00:00,-0.86,-0.77,-1.0,92.57,,,0.0,2.2,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 13:00:00,-0.7,-0.64,-0.8,91.25,,,0.0,2.2,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 14:00:00,-1.04,-0.75,-1.32,93.18,,,0.0,2.2,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 15:00:00,-1.55,-1.25,-1.79,94.51,,,0.0,2.2,2.4,2.1,Ruma,Ruma,Psenica i Secerna Repa
2016-01-02 16:00:00,-2.08,-1.84,-2.37,93.71,,,0.0,2.2,2.3,2.1,Ruma,Ruma,Psenica i Secerna Repa
