Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2010-04-21 00:00:00,9.95,10.45,9.6,80.09,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 01:00:00,9.0,9.48,8.65,82.55,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 02:00:00,10.08,11.11,8.96,76.45,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 03:00:00,9.79,10.1,9.19,77.42,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 04:00:00,9.29,10.04,8.61,80.46,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 05:00:00,9.28,9.57,8.95,79.41,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 06:00:00,9.61,10.34,8.97,80.32,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 07:00:00,10.29,11.19,9.48,77.67,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 08:00:00,12.88,14.21,11.39,71.39,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 09:00:00,14.61,15.38,14.02,67.49,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 10:00:00,15.68,15.94,15.43,62.85,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 11:00:00,15.57,16.07,15.35,63.47,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 12:00:00,16.38,16.85,15.84,59.68,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 13:00:00,16.28,16.94,15.54,59.15,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 14:00:00,17.66,19.17,16.42,52.89,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 15:00:00,20.07,20.34,19.56,43.01,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 16:00:00,21.51,24.89,19.88,40.35,,,0.2,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 17:00:00,20.41,20.71,20.14,42.45,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 18:00:00,19.8,20.29,18.95,43.34,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 19:00:00,18.08,19.08,16.33,50.43,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 20:00:00,13.16,15.78,11.18,78.85,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 21:00:00,11.1,11.54,10.47,84.92,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 22:00:00,10.37,10.72,9.7,83.39,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-21 23:00:00,10.98,11.57,9.59,83.95,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 00:00:00,12.42,13.35,12.06,76.79,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 01:00:00,11.0,11.79,10.36,87.0,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 02:00:00,11.64,12.61,10.9,82.75,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 03:00:00,11.59,12.2,11.19,80.73,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 04:00:00,10.34,11.19,9.09,86.16,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 05:00:00,9.97,11.18,9.06,90.85,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 06:00:00,10.18,10.59,9.97,95.52,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 07:00:00,10.37,10.83,10.05,95.98,,,0.2,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 08:00:00,10.55,10.89,10.08,82.62,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 09:00:00,9.24,9.99,8.81,78.31,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 10:00:00,8.49,9.05,7.95,82.4,,,1.4,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 11:00:00,8.32,8.84,7.96,86.2,,,0.6,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 12:00:00,8.96,9.13,8.87,81.52,,,0.2,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 13:00:00,10.18,11.01,9.22,73.55,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 14:00:00,10.74,11.23,10.55,60.13,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 15:00:00,10.85,11.44,10.21,61.27,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 16:00:00,11.06,11.77,10.2,57.83,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 17:00:00,11.25,11.51,11.09,50.85,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 18:00:00,10.75,11.12,10.4,59.19,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 19:00:00,9.91,10.39,9.25,65.97,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 20:00:00,7.0,8.88,5.44,89.19,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 21:00:00,5.02,5.33,4.81,98.23,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 22:00:00,4.61,4.95,4.36,96.73,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-22 23:00:00,3.98,4.44,3.56,97.22,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 00:00:00,4.84,5.38,4.44,95.19,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 01:00:00,5.63,6.49,4.84,90.03,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 02:00:00,5.66,6.2,5.26,92.88,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 03:00:00,5.75,6.11,5.21,91.28,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 04:00:00,5.51,5.78,5.05,94.43,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 05:00:00,4.85,5.44,4.17,96.42,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 06:00:00,4.48,4.99,4.08,96.55,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 07:00:00,5.73,6.44,4.93,92.28,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 08:00:00,7.81,8.57,6.83,86.17,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 09:00:00,10.01,11.13,8.78,78.27,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 10:00:00,12.73,14.42,11.28,68.53,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 11:00:00,15.18,16.59,14.28,68.09,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 12:00:00,17.01,17.75,16.04,64.72,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 13:00:00,18.95,19.52,18.3,59.58,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 14:00:00,20.92,21.98,19.82,52.19,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 15:00:00,21.45,22.31,20.86,48.88,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 16:00:00,22.19,22.75,21.7,45.92,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 17:00:00,22.09,23.38,21.45,42.23,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 18:00:00,20.89,21.34,20.46,48.01,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 19:00:00,19.1,20.32,17.99,60.88,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 20:00:00,17.3,17.99,16.19,67.6,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 21:00:00,16.06,16.25,15.88,68.02,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 22:00:00,15.85,16.12,15.58,66.51,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-23 23:00:00,15.01,15.49,14.63,71.37,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 00:00:00,14.41,14.69,14.09,74.93,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 01:00:00,13.6,14.01,13.01,80.44,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 02:00:00,12.87,13.11,12.62,85.78,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 03:00:00,12.83,12.99,12.61,87.17,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 04:00:00,12.17,12.53,11.96,92.28,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 05:00:00,11.78,12.08,11.67,95.0,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 06:00:00,12.17,12.25,12.08,93.78,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 07:00:00,12.58,13.17,12.16,93.7,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 08:00:00,13.65,13.78,13.3,90.63,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 09:00:00,14.73,15.97,13.83,87.24,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 10:00:00,17.49,18.3,16.14,74.82,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 11:00:00,18.37,19.0,17.86,71.56,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 12:00:00,18.72,18.96,18.32,68.42,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 13:00:00,18.89,19.29,18.64,67.76,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 14:00:00,18.12,18.57,17.85,70.1,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
2010-04-24 15:00:00,18.06,18.41,17.82,70.34,,,0.0,,,,Ruma,Novi Slankamen,Jabuka Ogled
