Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2013-01-16 00:00:00,6.53,6.65,6.3,92.28,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 01:00:00,6.54,6.67,6.34,85.18,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 02:00:00,6.68,6.96,6.41,83.16,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 03:00:00,6.72,6.97,6.5,80.83,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 04:00:00,7.01,7.29,6.81,79.63,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 05:00:00,6.54,6.91,6.04,82.17,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 06:00:00,5.86,6.1,5.64,87.18,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 07:00:00,5.21,5.87,4.83,99.43,,,1.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 08:00:00,4.55,4.91,4.31,100.0,,,0.8,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 09:00:00,4.3,4.47,4.2,100.0,,,0.4,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 10:00:00,4.75,4.99,4.51,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 11:00:00,5.79,6.95,5.07,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 12:00:00,7.38,7.72,7.0,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 13:00:00,8.28,9.15,7.72,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 14:00:00,9.33,9.56,9.0,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 15:00:00,9.98,10.36,9.5,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 16:00:00,9.74,10.41,8.79,98.51,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 17:00:00,8.27,8.68,7.81,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 18:00:00,6.99,7.67,6.64,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 19:00:00,6.39,6.75,6.0,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
2013-01-16 20:00:00,6.1,6.47,5.56,100.0,,,0.0,,,,Pancevo,Banatski Karlovac,Jabuka
