Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2017-03-28 00:00:00,1.66,2.75,1.07,66.17,,,0.0,6.9,7.4,6.6,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 01:00:00,0.29,1.36,-0.42,74.6,,,0.0,6.3,6.6,6.2,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 02:00:00,-0.5,-0.09,-1.0,81.2,,,0.0,5.9,6.2,5.7,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 03:00:00,0.74,1.31,-0.28,78.77,,,0.0,5.6,5.8,5.4,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 04:00:00,0.12,0.76,-0.42,82.25,,,0.0,5.3,5.6,5.2,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 05:00:00,-0.77,0.02,-1.74,85.37,,,0.0,4.9,5.2,4.8,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 06:00:00,-0.19,0.2,-0.56,88.4,,,0.0,4.7,4.8,4.5,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 07:00:00,3.07,5.11,0.5,86.18,,,0.0,5.2,5.8,4.8,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 08:00:00,9.39,17.23,5.62,61.21,,,1.6,9.4,16.5,5.8,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 09:00:00,10.8,15.25,9.77,43.74,,,2.6,10.3,16.5,8.1,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 10:00:00,12.41,13.25,11.67,37.82,,,0.0,8.5,9.2,8.1,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 11:00:00,13.97,14.44,13.21,31.88,,,0.0,10.1,11.1,9.2,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 12:00:00,15.22,16.12,14.53,29.44,,,0.0,11.8,12.4,11.2,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 13:00:00,16.16,16.87,15.8,29.08,,,0.0,12.6,12.9,12.3,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 14:00:00,17.09,17.61,16.55,26.75,,,0.0,13.2,13.6,12.9,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 15:00:00,17.68,18.35,17.28,26.55,,,0.0,14.0,14.2,13.7,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 16:00:00,18.02,18.34,17.55,26.8,,,0.0,14.3,14.4,14.2,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 17:00:00,17.8,18.11,17.53,28.3,,,0.0,13.9,14.2,13.6,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 18:00:00,16.51,17.42,15.08,32.19,,,0.0,13.1,13.6,12.6,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 19:00:00,13.03,14.68,11.18,40.18,,,0.0,12.0,12.5,11.5,Pancevo,Stari Tamis,Secerna Repa
2017-03-28 20:00:00,10.62,11.17,9.65,47.11,,,0.0,11.0,11.4,10.5,Pancevo,Stari Tamis,Secerna Repa
