Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 14:00:00,-1.45,-0.99,-1.87,61.47,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 15:00:00,-1.57,-0.7,-2.09,60.38,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 16:00:00,-2.27,-2.18,-2.41,71.47,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 17:00:00,-2.31,-2.11,-2.47,78.27,,,0.4,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 18:00:00,-2.13,-2.08,-2.22,74.31,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 19:00:00,-2.3,-2.22,-2.35,78.52,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 20:00:00,-2.52,-2.37,-2.62,87.62,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 21:00:00,-2.51,-2.44,-2.6,91.77,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 22:00:00,-2.54,-2.46,-2.7,92.19,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-01 23:00:00,-2.77,-2.69,-2.85,96.95,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 00:00:00,-2.96,-2.93,-2.99,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 01:00:00,-3.01,-2.98,-3.04,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 02:00:00,-3.0,-2.95,-3.19,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 03:00:00,-3.95,-3.33,-4.42,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 04:00:00,-4.7,-4.42,-4.92,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 05:00:00,-5.08,-4.81,-5.46,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 06:00:00,-5.9,-5.55,-6.37,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 07:00:00,-6.82,-6.45,-6.98,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 08:00:00,-7.02,-6.88,-7.24,100.0,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 09:00:00,-6.29,-5.5,-7.1,99.93,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 10:00:00,-4.38,-3.53,-5.01,95.26,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 11:00:00,-2.82,-2.18,-3.37,84.04,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 12:00:00,-1.85,-1.28,-2.19,77.35,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 13:00:00,-1.56,-1.21,-1.99,74.88,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 14:00:00,-1.27,-1.03,-1.45,71.69,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 15:00:00,-1.4,-1.22,-1.5,73.7,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 16:00:00,-1.57,-1.41,-1.71,75.39,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 17:00:00,-1.95,-1.74,-2.1,79.6,,,0.2,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 18:00:00,-2.33,-2.16,-2.53,81.28,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 19:00:00,-2.71,-2.58,-2.86,80.23,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 20:00:00,-3.03,-2.92,-3.16,76.64,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 21:00:00,-3.28,-3.2,-3.34,80.05,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 22:00:00,-3.35,-3.34,-3.41,80.37,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
2016-01-02 23:00:00,-3.4,-3.38,-3.42,81.93,,,0.0,,,,Kikinda,Banatska Topola,Psenica i Secerna Repa
