Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-05-27 00:00:00,13.5,13.92,13.3,99.94,,,0.0,16.8,17.1,16.6,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 01:00:00,13.08,13.4,12.95,100.0,,,0.0,16.4,16.7,16.3,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 02:00:00,12.73,12.84,12.62,100.0,,,0.0,16.0,16.4,15.8,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 03:00:00,12.22,12.61,12.01,100.0,,,0.0,15.7,15.9,15.5,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 04:00:00,12.29,12.72,11.96,100.0,,,0.0,15.4,15.6,15.3,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 05:00:00,12.71,13.71,11.99,100.0,,,0.0,15.3,15.4,15.2,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 06:00:00,15.34,16.74,13.97,99.4,,,0.0,15.4,15.8,15.2,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 07:00:00,17.98,19.07,17.05,89.04,,,0.0,16.1,16.5,15.7,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 08:00:00,20.6,21.61,19.45,74.66,,,0.0,17.1,17.8,16.6,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 09:00:00,23.17,24.08,21.76,63.47,,,0.0,19.3,20.6,17.9,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 10:00:00,25.06,25.93,24.11,53.39,,,0.0,21.6,22.4,20.7,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 11:00:00,25.48,26.24,23.96,50.01,,,0.0,23.4,23.9,22.7,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 12:00:00,26.15,26.81,25.21,46.04,,,0.0,23.8,24.4,23.5,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 13:00:00,27.69,28.77,26.79,40.1,,,0.0,24.6,25.0,24.4,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 14:00:00,27.53,28.69,26.44,37.79,,,0.0,24.6,25.0,24.2,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 15:00:00,27.79,29.14,26.86,35.66,,,0.0,23.8,24.2,23.6,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 16:00:00,27.38,27.98,26.84,39.24,,,0.0,23.4,23.6,23.3,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 17:00:00,27.01,27.74,26.53,42.16,,,0.0,23.2,23.4,23.1,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 18:00:00,26.05,27.06,24.69,49.17,,,0.0,22.8,23.2,22.5,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 19:00:00,23.71,24.69,22.59,59.25,,,0.0,22.1,22.5,21.8,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 20:00:00,22.25,23.33,21.5,62.37,,,0.0,21.3,21.7,20.9,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 21:00:00,20.41,21.05,19.4,70.93,,,0.0,20.6,21.0,20.3,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 22:00:00,18.61,18.86,18.3,80.9,,,0.0,19.9,20.2,19.7,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-27 23:00:00,18.72,19.11,18.22,78.48,,,0.0,19.4,19.7,19.1,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-28 00:00:00,18.46,18.88,18.03,77.16,,,0.0,18.9,19.3,18.8,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-28 01:00:00,17.31,18.37,15.95,82.64,,,0.0,18.6,18.9,18.5,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-28 02:00:00,15.96,16.66,15.31,89.61,,,0.0,18.1,18.4,18.0,Zrenjanin,Zlatica,Psenica i Secerna Repa
2016-05-28 03:00:00,13.93,14.95,13.49,97.32,,,0.0,17.7,18.1,17.4,Zrenjanin,Zlatica,Psenica i Secerna Repa
