Date,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] max,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg,Soil temperature [°C] max,Soil temperature [°C] min,opstina,mesto,usev
2016-01-01 16:00:00,-2.43,-2.2,-2.56,63.79,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 17:00:00,-2.6,-2.39,-2.74,67.15,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 18:00:00,-2.65,-2.47,-2.74,68.85,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 19:00:00,-2.5,-2.43,-2.57,74.21,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 20:00:00,-2.65,-2.6,-2.69,78.78,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 21:00:00,-2.93,-2.74,-3.05,86.19,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 22:00:00,-2.86,-2.82,-2.94,85.08,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-01 23:00:00,-2.83,-2.81,-2.86,84.47,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 00:00:00,-2.96,-2.85,-3.05,80.94,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 01:00:00,-2.98,-2.92,-3.03,83.28,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 02:00:00,-2.99,-2.95,-3.02,82.34,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 03:00:00,-3.01,-2.99,-3.03,85.56,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 04:00:00,-3.01,-2.97,-3.08,90.08,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 05:00:00,-3.08,-3.02,-3.13,86.46,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 06:00:00,-3.24,-3.15,-3.34,87.94,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 07:00:00,-3.33,-3.29,-3.39,91.0,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 08:00:00,-3.29,-3.16,-3.38,92.15,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 09:00:00,-3.0,-2.83,-3.18,89.87,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 10:00:00,-2.53,-2.27,-2.77,87.22,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 11:00:00,-1.96,-1.61,-2.23,86.96,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 12:00:00,-1.75,-1.62,-1.86,81.45,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 13:00:00,-1.93,-1.74,-2.23,80.71,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 14:00:00,-2.29,-2.17,-2.52,79.72,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 15:00:00,-2.95,-2.69,-3.19,78.2,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 16:00:00,-3.41,-3.24,-3.62,80.1,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 17:00:00,-3.84,-3.65,-4.0,81.55,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 18:00:00,-4.16,-4.06,-4.26,83.38,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 19:00:00,-4.31,-4.24,-4.36,84.92,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 20:00:00,-4.38,-4.34,-4.4,84.83,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 21:00:00,-4.4,-4.37,-4.44,85.3,,,0.0,,,,Ruma,Novi Slankamen,Breskva
2016-01-02 22:00:00,-4.36,-4.33,-4.39,84.8,,,0.0,,,,Ruma,Novi Slankamen,Breskva
