Date,mesto,HC Air temperature [°C] avg,HC Air temperature [°C] max,HC Air temperature [°C] min,HC Relative humidity [%] avg,HC Relative humidity [%] min,Precipitation [mm] sum,Soil temperature [°C] avg
01/05/1998,CWA,15.36,20.68,11.9,76,38,0.1,
02/05/1998,CWA,14.48,19.51,10.2,52,32,0.1,
03/05/1998,CWA,14.87,21.22,8.69,64,45,0,
04/05/1998,CWA,16.35,22.98,10.49,73,48,0,
05/05/1998,CWA,16.74,20.35,13.22,74,62,0,
06/05/1998,CWA,11.36,12.96,9.54,90,80,17.2,
07/05/1998,CWA,15.16,20.89,10.6,72,43,0.1,
08/05/1998,CWA,13.43,16.85,9.37,81,69,4.3,
09/05/1998,CWA,9.13,10.26,8.3,97,93,17.9,
10/05/1998,CWA,9.78,12.41,8.23,93,76,1,
11/05/1998,CWA,13.16,19.91,9.16,79,42,0,
12/05/1998,CWA,13.08,15.89,9.9,86,68,2.5,
13/05/1998,CWA,13.05,16.16,9.55,82,60,0.3,
14/05/1998,CWA,14.23,19.21,9.91,78,62,0,
15/05/1998,CWA,13.63,16.06,9.94,81,67,0.8,
16/05/1998,CWA,13,20.38,7.78,72,34,0.7,
17/05/1998,CWA,16.17,24.7,8.34,65,42,0,
18/05/1998,CWA,18.44,25.46,9.39,66,42,0,
19/05/1998,CWA,20.58,26.19,14.41,70,49,0,
20/05/1998,CWA,18.36,20.28,17.02,86,69,22.5,
21/05/1998,CWA,13.3,17.78,9.71,82,69,16.8,
22/05/1998,CWA,13.31,18.32,9.78,74,43,0,
23/05/1998,CWA,11.65,14.8,8.18,80,60,16.7,
24/05/1998,CWA,11.55,14.86,8.16,54,31,0,
25/05/1998,CWA,11.89,21.28,3.31,67,40,188.9,
26/05/1998,CWA,15.74,22.91,9.01,74,50,0,
27/05/1998,CWA,16.1,23.74,9.68,74,47,2.8,
28/05/1998,CWA,14.57,18.21,11.5,59,42,0,
29/05/1998,CWA,15.75,21.1,9.76,68,46,0,
30/05/1998,CWA,16.5,21.03,13.2,74,61,7.2,
31/05/1998,CWA,13.97,15.51,12.81,95,91,12.2,
01/06/1998,CWA,16.32,21.54,13,81,50,1.2,
02/06/1998,CWA,17.83,23.85,11.96,55,28,0,
03/06/1998,CWA,17.13,22.43,10.16,60,37,0,
04/06/1998,CWA,17.18,24.66,9.03,65,30,0,
05/06/1998,CWA,18.45,25.31,10.28,61,36,0,
06/06/1998,CWA,19.58,25.47,13.02,68,46,0,
07/06/1998,CWA,15.4,19.25,13.41,86,58,8.4,
08/06/1998,CWA,17.06,23.79,11.92,81,50,0.7,
09/06/1998,CWA,17.62,23.46,13.21,80,58,0.1,
10/06/1998,CWA,20.09,24.78,14.28,71,56,0,
11/06/1998,CWA,17.61,21.7,16.39,87,58,9.4,
12/06/1998,CWA,19.57,26.39,15.59,83,47,0.1,
13/06/1998,CWA,20.92,24.89,17.67,81,60,0,
14/06/1998,CWA,20.27,25.06,17.11,80,59,0,
15/06/1998,CWA,20.99,26.17,17.8,84,64,5.1,
16/06/1998,CWA,24.1,31.34,18.26,67,27,0,
17/06/1998,CWA,21.75,25.88,18.01,64,35,1.7,
18/06/1998,CWA,20.4,25.53,15.48,41,17,0,
19/06/1998,CWA,20.07,30.57,9.25,49,19,0,
20/06/1998,CWA,23.58,34.43,15.51,44,14,0,
21/06/1998,CWA,24.99,34.99,13.5,40,13,0,
22/06/1998,CWA,22.57,27.68,16.76,51,23,1.9,
23/06/1998,CWA,19.38,23.18,17.47,82,67,10.8,
24/06/1998,CWA,19.55,22.31,17.34,87,73,0.3,
25/06/1998,CWA,20.09,25.37,16.3,75,47,0,
26/06/1998,CWA,21.43,29.18,13.28,67,25,0,
27/06/1998,CWA,24.16,31.4,16.26,54,27,0,
28/06/1998,CWA,24.86,32.52,16.95,52,33,0.1,
29/06/1998,CWA,25.69,32.66,18.18,52,26,0,
30/06/1998,CWA,25.6,31.52,19.94,55,36,0,
01/07/1998,CWA,21.43,25.77,17.71,72,49,0.7,
02/07/1998,CWA,21.46,29.4,15.78,74,33,0.1,
03/07/1998,CWA,23.88,30.07,17.59,60,32,0,
04/07/1998,CWA,24.35,27.26,20.69,61,40,0,
05/07/1998,CWA,21.11,25.69,17.55,83,57,17.4,
06/07/1998,CWA,20.08,24.4,16.17,88,71,0.3,
07/07/1998,CWA,17.46,19.34,16.04,96,84,29.4,
08/07/1998,CWA,17.57,19.46,16.19,98,90,6.9,
09/07/1998,CWA,18.7,19.78,17.94,99,96,13.2,
10/07/1998,CWA,17.56,19.21,15.8,99,98,19.4,
11/07/1998,CWA,20.19,25.28,16.62,91,72,0.1,
12/07/1998,CWA,22.47,25.28,20.17,91,80,10.8,
13/07/1998,CWA,24.04,28.37,19.74,83,60,0,
14/07/1998,CWA,23.94,28.11,19.42,85,64,0,
15/07/1998,CWA,22.56,24.39,20.73,85,71,0.4,
16/07/1998,CWA,20.32,24.52,17.88,80,63,0,
17/07/1998,CWA,22.73,31.18,15.67,70,22,0,
18/07/1998,CWA,24.48,32.58,16.27,61,32,0,
19/07/1998,CWA,24.13,27.75,20.36,72,52,0,
20/07/1998,CWA,23.62,31.22,15.57,68,33,0,
21/07/1998,CWA,24.89,31.33,19.36,66,38,0,
22/07/1998,CWA,24.77,30.61,20.12,67,35,0,
23/07/1998,CWA,24.51,30.66,19.7,57,27,0,
24/07/1998,CWA,23.52,27.7,18.56,74,51,0,
25/07/1998,CWA,23.04,29.5,16.94,72,34,0,
26/07/1998,CWA,22.87,25.97,19.31,66,45,0,
27/07/1998,CWA,19.58,23,18.15,94,75,51.9,
28/07/1998,CWA,19.95,26.44,15.8,88,60,0.2,
29/07/1998,CWA,22.2,27.29,18.52,82,51,0,
30/07/1998,CWA,22.39,27.24,18.57,85,58,0,
31/07/1998,CWA,23.23,28.16,19.62,80,52,0.2,
01/08/1998,CWA,22.71,26.83,18.96,82,59,0,
02/08/1998,CWA,21.9,29.46,17.4,78,49,11.3,
03/08/1998,CWA,21.93,27.51,17.19,84,60,0,
04/08/1998,CWA,21.62,26.12,17.64,78,50,2.5,
05/08/1998,CWA,21.82,25.64,19.23,85,67,0,
06/08/1998,CWA,19.85,22.86,17.1,86,75,0.6,
07/08/1998,CWA,22.04,28.81,17.64,77,34,0,
08/08/1998,CWA,21.67,26.22,17.11,75,46,0,
09/08/1998,CWA,18.94,22.1,16.73,88,68,4,
10/08/1998,CWA,18.12,25.82,13.03,87,52,0.2,
11/08/1998,CWA,20.17,22.89,17.73,85,67,0,
12/08/1998,CWA,20.13,25.1,14.54,83,60,0,
13/08/1998,CWA,18.94,23.31,14.83,93,82,5.7,
14/08/1998,CWA,17.45,21.27,14.93,94,69,23.3,
15/08/1998,CWA,20.07,24.64,15.82,79,56,0,
16/08/1998,CWA,19.53,26.18,15.24,82,47,0,
17/08/1998,CWA,19.89,24.38,16.22,88,71,0,
18/08/1998,CWA,20.17,26.37,14.78,82,56,0,
19/08/1998,CWA,20.53,25.99,16.07,84,55,0,
20/08/1998,CWA,20.24,22.21,19.2,93,80,9.2,
21/08/1998,CWA,20.81,25.58,18.74,93,72,55.1,
22/08/1998,CWA,22.41,26.58,19.73,90,68,0,
23/08/1998,CWA,22.92,26.86,18.83,89,73,0,
24/08/1998,CWA,21.01,23.61,18.67,82,71,0,
25/08/1998,CWA,18.2,19.58,17.04,96,85,11.4,
26/08/1998,CWA,16.35,18.75,15.33,96,81,26.4,
27/08/1998,CWA,16.66,23.96,10.87,88,57,0.1,
28/08/1998,CWA,19.44,23.75,16.42,84,53,0,
29/08/1998,CWA,18.97,25.69,13.66,82,50,4.5,
30/08/1998,CWA,19.57,26.63,13.25,72,30,0,
31/08/1998,CWA,19.09,27.04,12.02,73,38,0,
01/09/1998,CWA,20.32,26.22,15.66,72,38,0,
02/09/1998,CWA,18.03,21.64,14.16,90,71,0,
03/09/1998,CWA,17.96,24.95,11.58,84,41,0,
04/09/1998,CWA,19.82,28.18,13.91,76,39,0,
05/09/1998,CWA,20.57,30.89,11.9,59,17,0,
06/09/1998,CWA,20.96,30.74,11.11,59,23,0,
07/09/1998,CWA,21.83,32,14.16,59,20,0,
08/09/1998,CWA,21.86,29.99,13.26,63,35,0,
09/09/1998,CWA,21.14,28.95,13.38,61,37,5.9,
10/09/1998,CWA,20.93,26.95,14.5,77,44,0,
11/09/1998,CWA,20.77,26.01,15.93,63,40,0,
12/09/1998,CWA,19.96,25.2,15.36,68,44,0,
13/09/1998,CWA,21.3,27.47,16.62,65,40,0,
14/09/1998,CWA,22.05,26.66,16.22,71,44,0,
15/09/1998,CWA,19.57,21.82,16.22,86,74,0,
16/09/1998,CWA,14.21,15.87,13.24,89,81,0,
